Item ID,Name,"	Description",Tag 1,Tag 2,Tag 3
0x0d001,L.A. Noire (Game),"L.A. Noire is a third-person neo-noir crime video game developed by Team Bondi in conjunction with Rockstar North and Rockstar San Diego and published by Rockstar Games. LA Noire is set in a nearly perfectly recreated 8 square miles of Los Angeles of 1947, with players being given an open-ended challenge to solve a series of crime and murder mysteries.",L.A. Noire,Game,
0x0d002,Upon Reflection (Case 1-1),"Upon Reflection is a Patrol case in L.A. Noire. This is the first case Cole Phelps takes on the Patrol Desk, as well as the first case in the original L.A. Noire. The case involves a murder in a back alley. Phelps finds the murder weapon and confronts him in his department.",L.A. Noire,,
0x0d003,Armed and Dangerous (Case 1-2),"Armed and Dangerous is a Patrol case in L.A. Noire. This case is about a robbery at Westlake Savings & Loans that Cole Phelps and his partner Ralph Dunn pick up on their car radio. When they arrive at the bank, Phelps takes a shotgun from the car's trunk and engages in a gun fight with the robbers.",L.A. Noire,,
0x0d004,Warrants Outstanding (Case 1-3),"Cole Phelps and Ralph Dunn are patrolling in their police vehicle when Dunn notices Wendell Bowers, who jumped his parole after being arrested by the former. Cole jumps out of the car and chases Wendell down, resulting in a fistfight.",L.A. Noire,,
0x0d005,Buyer Beware (Case 1-4),"While patrolling the streets, Officer Cole Phelps hears multiple gunshots and runs toward the sound. He shows up to the scene of a shooting where he discovers Everett Gage dead on the sidewalk in front of his own store, Nunn Bush Shoes, and learns the identity of Edgar Kalou from the store clerk, Clovis Galletta. He also finds .32 ACP shell casings, and a .32 ACP FN Browning 1922 pistol on the scene. Phelps and Officer Ralph Dunn go to Hartfield's Jewelry Store to locate their suspect, after confirming he is the owner of the handgun. Upon entering, they're greeted by Kalou who at first pretends to be someone else entirely, claiming Mr. Kalou is sleeping in the back. Kalou then attempts an escape. Phelps chases him through the store and out the back door and catches him. Phelps forces a confession from him in interrogation.",L.A. Noire,,
0x0d006,"	Ralph Dunn",Ralph Dunn is a character in L.A. Noire. Dunn serves as Cole Phelps' partner during the latter's time on Patrol.,L.A. Noire,Fictional Character,
0x0d007,L.A. Noire Patrol Cases,"When Cole Phelps joins the LAPD, he starts off as a police officer in this section as a beat cop, based at the Wilshire Police Station. This department is used as the game's tutorial, and its missions will teach the player the game's basics. Once Phelps completes all missions in this section, the LAPD will note that he has the ability to investigate crimes, and will promote him to Detective. Cole's partner in this department is Officer Ralph Dunn.",L.A. Noire,,
0x0d008,The Driver's Seat (Case 2-1),"Cole Phelps and his new partner, Stefan Bekowsky, are called up to investigate an abandoned car, which looks as if a murder was committed inside of it. Phelps also finds a receipt for a live pig in the trunk of the car, bought by Frank Morgan. Phelps meets with Margaret Black and learns of Adrian's affair. Phelps interviews Frank Morgan and he confesses Adrian is running away to Seattle for an affair and is at Morgan's apartment. Adrian is arrested.",L.A. Noire,,
0x0d009,Adrian Black,"Criminal in ""The Driver's Seat."" He left his wife for a girl in Seattle and tried to get away by faking his death in an abandoned car.",L.A. Noire,Fictional Character,
0x0d00a,The Consul's Car (Case 2-X),"Exclusive case. Phelps and Stefan Bekowsky are called up to investigate the theft of a diplomatic vehicle belonging to Juan Francisco Valdez, the Consul General of Argentina in Los Angeles. Phelps interrogates the owner of the car, Valdez (an Argentine consul). He admits being bribed to buy a car from Dewey, cites Gabriel as the culprit. Investigating Dewey reveals the same and visiting Gabriel's home shows the same. Finally an illegal street race ends in arrest.",L.A. Noire,,
